# Colorado Snow Depth, March 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Missing: M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Trace: T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
US1COAR0313,AURORA 2.1 ESE,ARAPAHOE,CO,5602,39.69,-104.78,M,M,M,9.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0281,AURORA 2.4 SW,ARAPAHOE,CO,5616,39.67,-104.84,11,10.5,10,12.5,11,10,9,6,5,2.5,1.5,T,T,T,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0186,AURORA 2.8 WSW,ARAPAHOE,CO,5596,39.68,-104.86,M,M,M,7,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0055,AURORA 2.9 NW,ARAPAHOE,CO,5442,39.72,-104.86,6,5.5,4,6,5,M,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAD0154,AURORA 3.0 N,ADAMS,CO,5383,39.74,-104.82,M,4.8,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0259,AURORA 4.0 SSE,ARAPAHOE,CO,5660,39.65,-104.78,M,M,5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M
US1COAD0170,AURORA 4.5 NW,ADAMS,CO,5340,39.75,-104.86,M,M,M,7.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0266,AURORA 4.5 SE,ARAPAHOE,CO,5735,39.65,-104.76,M,M,M,11,M,M,M,4.4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,1.5,M,M,M,M,M
US1COAR0260,AURORA 4.6 SSE,ARAPAHOE,CO,5740,39.64,-104.77,M,M,M,M,M,M,M,M,5.9,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
US1COAR0294,AURORA 5.2 SSE,ARAPAHOE,CO,5775,39.63,-104.78,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M
